Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Denmark,DNK,48799.82037,52026.99311,58487.04501,64322.06664,58163.29359,58041.41122,61753.66007,58507.50021,61191.19263,62548.98502,53012.99658,53578.75657,56307.5083
Dominican Republic,DOM,3910.017774,4067.332917,4647.310359,5011.037937,4952.677503,5453.926861,5765.496453,5973.222937,6094.734904,6348.837769,6534.908555,6793.538125,7052.258839
Algeria,DZA,3100.122378,3464.610079,3935.183343,4905.254866,3868.83123,4463.394675,5432.41332,5565.134521,5471.123389,5466.425778,4160.220067,3916.881571,4123.389937
East Asia & Pacific,EAS,4829.31201,5084.351967,5647.053162,6476.447148,6628.143435,7676.519196,8842.715804,9401.268339,9445.934667,9663.41906,9546.209264,9793.32118,10369.69141
Ecuador,ECU,3021.942547,3350.786541,3590.718086,4274.952065,4255.565701,4657.302361,5223.351763,5702.104313,6074.090829,6396.630483,6150.155955,6018.526868,6198.947323
"Egypt, Arab Rep.",EGY,1168.115231,1375.196316,1640.476068,2011.246154,2291.667062,2602.479549,2747.480327,3181.441708,3213.389158,3327.754247,3547.713012,3479.281246,2412.727082
Euro area,EMU,31966.28186,33783.09235,38700.7128,42220.04376,38480.92232,37605.14595,40610.7258,37604.59712,39111.44486,39823.54086,34362.68895,35038.55124,36869.05443
Eritrea,ERI,276.7508096,297.8280588,317.3294336,326.0825642,430.7544499,482.1490904,582.7755302,,,,,,
Spain,ESP,26510.71745,28482.60948,32709.40104,35579.30993,32334.00548,30736.62785,31835.2888,28563.85904,29211.77375,29623.16445,25789.51955,26616.7578,28156.81584
Estonia,EST,10338.31322,12595.41065,16586.4052,18094.54805,14726.31828,14638.60482,17454.84342,17421.89022,19072.23852,19949.58138,17155.87418,17736.8027,19704.65504
Ethiopia,ETH,161.6266248,193.7949056,243.3026822,325.3825543,379.7566385,341.3099092,354.8463544,468.5067249,502.1535887,571.1622759,645.4650067,712.87795,767.5634778
European Union,EUU,29092.99283,30922.81572,35593.50208,38136.08997,33979.49497,33677.00264,36408.7244,34235.14869,35588.0944,36670.13041,32207.3851,32259.86726,33715.12736
Finland,FIN,38969.17163,41120.67651,48288.5491,53401.31487,47107.15571,46202.41516,50790.72415,47415.55987,49638.07713,49914.61864,42424.22081,43433.03222,45703.32787
Fiji,FJI,3658.630832,3749.939813,4078.82327,4177.657789,3369.408247,3651.966784,4353.121392,4546.738504,4763.068956,5061.397575,4889.461454,5197.50914,5589.388833
France,FRA,34760.18777,36443.62344,41508.43269,45334.11091,41575.41618,40638.334,43790.7354,40874.71596,42592.95152,43008.65257,36613.37522,36870.21913,38476.65864
Faroe Islands,FRO,35847.45356,40719.57503,47024.2297,49773.16687,46521.50171,47397.90292,50789.0486,48421.80307,53612.825,57543.66906,50581.96849,,
"Micronesia, Fed. Sts.",FSM,2355.544465,2397.451838,2441.501551,2516.018683,2693.023278,2861.771348,3000.948119,3150.910602,3047.584425,3057.24559,3018.008675,3143.749107,3187.55716
Gabon,GAB,6826.880545,7141.549167,8352.817101,10094.02746,7603.660223,8754.142234,10716.22443,9774.193026,9679.723562,9692.136739,7448.749355,7078.68326,7220.687235
United Kingdom,GBR,41732.64054,44252.31582,50134.3161,46767.59222,38262.18213,38893.01849,41412.34924,41790.77914,42724.06788,46783.46922,44305.55463,40412.03362,39720.44343
Georgia,GEO,1530.036419,1872.680416,2492.12878,3174.949001,2706.588512,2964.477034,3725.063221,4142.869175,4274.376857,4429.650075,3764.640912,3865.785694,4078.254879
Ghana,GHA,498.1723904,922.9537497,1090.686718,1224.401554,1086.765038,1312.607557,1574.978653,1629.800222,1814.492297,1449.662816,1353.68426,1517.495508,1641.486625
Gibraltar,GIB,,,,,,,,,,,,,
Guinea,GIN,303.424498,442.8374053,578.0349637,679.0384165,615.084216,647.8032029,590.0338558,665.230653,716.2441951,742.4557166,732.5613473,748.3013059,825.3449298
"Gambia, The",GMB,432.1918787,439.3432874,519.0548058,607.955496,549.3178255,562.4837817,514.3781619,504.9739367,483.4809046,434.4701608,458.9705912,472.3064382,483.0224586
Guinea-Bissau,GNB,424.9562044,418.9512693,481.33501,583.894419,544.8612801,546.7216686,688.7718197,604.2683552,621.9406736,610.4684903,591.8061497,648.8989366,723.6586216
Equatorial Guinea,GNQ,10850.63334,12732.02759,15761.83913,22742.38159,16530.20937,17136.44568,21451.88617,21557.6528,20246.99308,19245.65151,11213.47463,9217.889528,9850.013585
Greece,GRC,22551.73574,24801.15781,28827.32636,31997.28201,29710.9703,26917.75898,25916.29353,22242.68193,21874.8195,21760.9798,18070.77678,17881.5267,18613.42387
Grenada,GRD,6754.512393,6766.48686,7324.190456,7947.444327,7395.088125,7365.666659,7410.408438,7583.187002,7956.076548,8569.776998,9333.270231,9841.76405,10376.22703
Greenland,GRL,32489.78191,35458.12312,39780.95144,44367.05565,44918.56488,43988.33249,47186.98147,45936.76595,47262.28276,50408.33455,44912.26609,48159.53471,
Guatemala,GTM,2077.83438,2256.56724,2489.955836,2794.221809,2635.753474,2825.52407,3187.845296,3299.605139,3452.828934,3687.763767,3923.573344,4140.737635,4470.989572
Guam,GUM,26495.87758,26555.6452,27540.83913,29056.497,30025.56035,30700.43401,30862.11,32499.23425,33278.25409,34361.08022,35210.78883,35562.56753,
Guyana,GUY,1098.455216,1945.634349,2327.058324,2576.124957,2764.306295,3044.949129,3438.825411,3799.756292,3944.178173,4030.802321,4119.676487,4531.243527,4725.319063
"Hong Kong SAR, China",HKG,26649.7508,28224.21506,30594.01784,31515.66277,30697.34038,32549.99823,35142.48793,36730.8767,38403.77771,40315.28556,42431.88828,43737.04197,46193.61452
Honduras,HND,1311.741714,1437.628785,1592.572182,1751.595857,1815.489496,1932.85829,2120.589469,2178.388555,2136.771718,2242.707459,2341.27532,2375.096327,2480.125929
Croatia,HRV,10224.30403,11363.41845,13546.71387,15893.86048,14157.15484,13542.90183,14571.49088,13254.76426,13648.98986,13597.03387,11757.89004,12298.57035,13294.51493
Haiti,HTI,465.3103865,505.4706206,615.8202308,674.7564147,668.2976046,662.2795182,740.9358452,766.8437623,810.2656073,830.1138816,814.5463952,734.8025912,765.6839246
Hungary,HUN,11205.97134,11447.81687,13907.50338,15739.73541,13029.88338,13092.23376,14118.12263,12888.30459,13667.70279,14201.44883,12483.86594,12820.0882,14224.84646
IBRD only,IBD,2272.207586,2665.196597,3283.285165,3903.434885,3750.597884,4509.496048,5280.065384,5556.033473,5815.798929,5947.44363,5562.58977,5538.236651,6039.831956
Indonesia,IDN,1260.928834,1586.20504,1855.093915,2160.527605,2254.445592,3113.480635,3634.276805,3687.953996,3620.663981,3491.595887,3334.549075,3570.284615,3846.864323
Isle of Man,IMN,39033.70012,43482.35943,73153.32375,74203.13176,69172.18604,73935.679,76055.5421,79028.04498,82356.82337,89941.64429,81672.0227,,
India,IND,707.008019,792.0259698,1018.166373,991.4846304,1090.317765,1345.770153,1461.671957,1446.98541,1452.195373,1576.004018,1606.038285,1717.473878,1939.612984
Ireland,IRL,50878.63952,54306.9131,61359.64508,61257.89689,52104.03472,48671.88829,52186.49627,49042.33825,51773.11137,55412.9286,61807.67037,64100.42995,69330.69015
"Iran, Islamic Rep.",IRN,3215.653433,3738.689284,4857.368371,5574.410436,5619.117621,6531.92743,7729.343353,7832.902635,6036.192088,5540.984136,4862.299729,5219.109805,5415.209635
Iraq,IRQ,1849.603911,2351.812429,3129.224922,4521.03247,3735.144836,4502.749048,5854.614497,6651.12242,6925.224046,6703.074737,4974.02693,4609.600694,5165.714157
Iceland,ISL,56250.68281,56121.32242,68428.34821,55632.10432,40640.9902,41851.73548,46181.95294,44562.81802,48023.62691,52855.14048,51213.66133,60529.92676,70056.87339
Israel,ISR,20557.12408,21827.82317,24889.16836,29531.57216,27709.11754,30642.94062,33689.83853,32525.95659,36291.23211,37539.95182,35690.96308,37180.84981,40270.25135
Italy,ITA,31959.26295,33410.74744,37698.78665,40640.18386,36976.84553,35849.3732,38334.68385,34814.12512,35370.27526,35396.66572,30180.32151,30668.98143,31952.97592
Jamaica,JAM,4082.240762,4313.160082,4620.517913,4902.512038,4293.322822,4682.521248,5103.356097,5209.506189,5005.592249,4855.800481,4939.837281,4878.575791,5109.552649
Jordan,JOR,2203.083787,2537.30049,2762.806354,3385.609665,3492.130906,3679.190275,3807.324145,3870.753211,3992.867107,4066.940775,4096.099275,4087.937517,4129.751671
Japan,JPN,37217.64873,35433.98896,35275.22843,39339.29757,40855.17564,44507.67639,48167.99727,48603.47665,40454.44746,38109.41211,34567.74568,38972.34064,38428.09732
Kazakhstan,KAZ,3771.278957,5291.57565,6771.414797,8513.564645,7165.223175,9070.488253,11634.0019,12386.7,13890.63177,12807.26069,10510.77189,7714.841844,8837.457302
Kenya,KEN,519.7999346,697.0066385,839.1081117,916.8992515,920.0816252,967.3504549,987.4809095,1153.232231,1229.101115,1335.123262,1355.045788,1462.505115,1507.814864
Kyrgyz Republic,KGZ,476.55213,543.1107024,721.7686908,966.3936272,871.2243893,880.0377751,1123.883168,1177.974735,1282.437162,1279.769783,1121.082835,1120.666513,1219.824048
Cambodia,KHM,474.2238766,539.8791529,631.675789,745.7877873,738.2326684,785.6928841,882.4901462,951.1112311,1013.665952,1093.762067,1163.18977,1269.907238,1384.423187
Kiribati,KIR,1214.556667,1151.555618,1357.632211,1413.30234,1297.285141,1493.16051,1692.613277,1763.815497,1724.361737,1619.342182,1504.715547,1587.058145,1685.166939
St. Kitts and Nevis,KNA,11173.7604,12928.63314,13538.92858,14681.36684,14212.33957,13704.25445,14483.44351,13965.55811,14823.74859,15775.84594,16178.18889,16596.82657,17090.15234
"Korea, Rep.",KOR,18639.52221,20888.38015,23060.70788,20430.63946,18291.9196,22086.95292,24079.78852,24358.78218,25890.01867,27811.36638,27105.07623,27608.24743,29742.83886
Kuwait,KWT,35490.26132,42717.55725,45793.97614,55571.99806,37567.30121,38497.61696,48268.5912,51264.07134,48399.80782,42996.31522,29109.06874,27368.28668,29040.36371
Lao PDR,LAO,475.4164695,590.3013108,709.767087,899.4950787,948.1276421,1141.127115,1381.425606,1588.633147,1838.80602,2017.587781,2159.433152,2338.692157,2457.376266
Lebanon,LBN,5339.441291,5372.065899,6014.271115,7109.466413,8480.945504,8858.283977,8734.189185,8922.896752,8721.254215,8536.682494,8452.443641,8257.294391,8523.74955
Liberia,LBR,168.6480254,178.927099,210.3733292,232.061732,303.0667491,327.4205097,379.6895803,415.0361958,454.1222236,458.4651734,452.0380717,455.3707414,456.0530154
Libya,LBY,8171.361651,9344.987518,11308.56661,14396.04865,10296.97353,12120.56217,5602.549434,13209.14078,10571.85076,6631.529047,4695.273094,5125.675283,7998.028819
St. Lucia,LCA,5810.177297,6856.986885,7636.496032,7577.209593,7384.859301,8007.696484,8270.541758,8218.053212,8481.890521,8796.69108,9306.358868,9364.821525,9574.302496
Liechtenstein,LIE,104994.0183,113983.1678,130267.2433,142973.8309,125945.0096,141165.0829,158283.0763,149295.646,173528.1505,179308.0756,168146.0153,,
Sri Lanka,LKA,1250.004791,1437.071355,1633.008369,2041.290655,2095.531476,2808.545966,3213.874539,3350.611036,3609.142895,3820.678185,3842.16386,3857.396363,4065.224874
Lesotho,LSO,862.9463084,915.7757486,918.5406962,935.3941391,924.1059321,1169.267842,1350.677653,1281.620558,1193.0042,1218.471094,1152.316796,1039.703303,1181.811759
Lithuania,LTU,7863.162009,9240.642548,12297.91535,14961.56818,11837.39103,11984.86857,14357.73523,14341.18163,15693.78673,16545.12267,14289.12057,14912.68654,16680.6781
Luxembourg,LUX,80289.69641,89739.7117,106018.4928,114293.8433,103198.6693,104965.3061,115761.5077,106749.0136,113625.1329,119225.38,101446.7863,100738.6842,104103.0367
Latvia,LVA,7558.742006,9667.9757,14044.01589,16348.53121,12219.37379,11326.21947,13702.68947,13822.80559,15032.28201,15716.36907,13639.69412,14070.42265,15594.28602
"Macao SAR, China",MAC,25058.53593,29979.85447,36402.56051,40667.88423,40881.38064,52374.79445,66813.34974,76496.36619,89524.84436,94004.38983,75484.28658,74017.18471,80892.82133
St. Martin (French part),MAF,,,,,,,,,,,,,
Morocco,MAR,2013.755559,2191.478567,2494.353552,2884.94776,2861.554005,2834.20472,3039.916016,2904.746728,3111.762887,3160.250851,2864.092915,2892.775561,3007.242877
Monaco,MCO,126655.5981,135535.0024,170156.6944,192989.1895,152111.598,144246.3688,162009.8778,,,,,,
Moldova,MDA,831.2052862,950.6482044,1230.434685,1695.972811,1525.526119,1631.535832,1970.571373,2046.536787,2243.979662,2244.763762,1832.499052,1913.240367,2289.877719
Madagascar,MDG,274.8197023,292.1507443,377.8482928,470.733254,415.6893226,412.7309341,454.963464,443.9061001,461.7230722,452.4631926,402.0883118,401.7422654,449.7223819
Maldives,MDV,3648.780055,4811.667468,5559.506832,6583.45125,6615.763778,7100.405899,7395.6878,7473.195629,8291.485295,9056.65344,9575.7707,9871.906911,10535.7947
Middle East & North Africa,MEA,4384.915333,5026.666552,5833.362033,7117.492299,6229.030788,7126.771933,8276.272941,8832.069226,8602.500554,8471.517877,7323.031083,7195.352317,7349.947863
Mexico,MEX,8089.409036,8859.715354,9412.827939,9765.716806,7792.247828,9016.457812,9912.582043,9940.468822,10400.56311,10580.97247,9290.760629,8443.691924,8902.830823
Marshall Islands,MHL,2649.670541,2763.739007,2891.928956,2925.977632,2917.001147,3146.763948,3297.558144,3516.899911,3614.130661,3461.781164,3390.910292,3665.207477,3753.256293
"Macedonia, FYR",MKD,3037.754585,3325.613242,4036.140237,4793.292959,4543.890244,4542.904104,5064.041106,4698.689476,5211.4992,5469.217898,4834.136723,5163.250253,5442.609944
Mali,MLI,487.9402556,521.6425796,595.6368319,689.6784228,697.0153124,708.3707632,835.0889098,777.3476868,803.8935757,848.2279485,749.9501571,779.9448438,824.5162257
Malta,MLT,15835.34667,16671.5672,19375.5696,21928.70067,20675.58259,21087.79469,22840.20213,21926.0604,23816.66697,25851.65933,23759.02834,24770.80657,26945.98388
Myanmar,MMR,247.2427006,296.9007284,410.4500001,643.9513703,741.0777116,987.7365832,1186.423937,1175.561788,1171.464477,1260.422411,1138.992271,1195.515372,1298.881989
Montenegro,MNE,3674.617924,4425.680913,5976.391922,7367.751909,6727.107767,6682.281158,7318.742449,6586.719209,7186.431924,7378.341022,6514.272695,7028.940132,7669.571906
Mongolia,MNG,998.8226671,1334.651896,1634.081431,2139.625631,1717.898761,2650.353648,3769.595269,4368.082248,4385.379355,4181.583313,3946.962075,3694.082552,3735.164302
Northern Mariana Islands,MNP,16644.70382,16048.50214,15761.26225,16350.05485,14279.55599,14681.02308,13628.08166,13980.41625,14508.84595,15513.69612,17020.57793,22572.37882,
Mozambique,MOZ,369.1545359,385.7567141,422.1461573,503.1277109,463.852618,419.2258149,526.5313517,566.0513873,605.9856081,623.2867539,528.3125597,382.069457,415.7177167
Mauritania,MRT,697.7452864,944.1304851,1013.310149,1167.535733,1046.837935,1203.383663,1393.261734,1364.283926,1450.577949,1326.668654,1158.256371,1101.901529,1136.763975
Mauritius,MUS,5116.045424,5695.969327,6574.654338,8030.063005,7318.12641,8000.376432,9197.026972,9291.227619,9637.00265,10153.93822,9260.447303,9681.618567,10547.21683
Malawi,MWI,280.3673842,297.6971211,320.2227274,372.842678,420.7379657,458.8681744,512.1254051,374.5018802,332.9223039,354.7253961,362.6575444,300.3076651,338.4836424
Malaysia,MYS,5593.822995,6222.982955,7269.17114,8513.629541,7326.744435,9071.356987,10405.12062,10779.50751,10882.2891,11183.72943,9648.553455,9508.23775,9944.9043
North America,NAC,43514.08192,45849.04082,47723.72747,48232.31001,46394.38485,48291.07443,50027.57819,51561.45955,52751.79899,54295.34242,55153.21527,56058.64352,58070.06614
Namibia,NAM,3573.146387,3881.209535,4202.510968,4029.065061,4153.497885,5191.583081,5600.971392,5749.404752,5490.041314,5392.712421,4852.092267,4560.70206,5227.18001
New Caledonia,NCL,,,,,,,,,,,,,
Niger,NER,250.0383731,258.0463873,292.55962,354.8185998,341.2894618,348.151511,375.5819866,391.5154879,416.1399424,429.7909988,364.4437228,367.9559859,378.0603077
Nigeria,NGA,807.8938738,1019.743286,1136.829645,1383.893354,1097.661422,2327.32067,2527.942003,2755.297787,2996.964302,3221.678116,2655.157977,2175.673442,1968.557681
Nicaragua,NIC,1175.116225,1240.992617,1344.301871,1518.805386,1464.497754,1526.497938,1682.957924,1792.038045,1847.198049,1975.464707,2073.497938,2143.925893,2221.806445
Netherlands,NLD,41577.16009,44453.97119,51241.31562,56928.82048,51900.34009,50338.25483,53540.60536,49474.70561,51574.48942,52157.40687,44746.33405,45637.88675,48223.15549
Norway,NOR,66775.3944,74114.69715,85170.86217,97007.94189,80067.17664,87770.26684,100711.2248,101668.1707,103059.2482,97199.9191,74498.13764,70890.03557,75504.56626
Nepal,NPL,317.089198,348.6314534,393.8843518,473.8444409,480.7200909,592.1835216,692.1166842,681.7925868,688.6172788,706.2386977,747.1604624,729.1222515,835.0798466
Nauru,NRU,,,2042.865638,3954.315103,4453.589937,4912.599558,7233.946609,10099.422,10036.18321,9872.638314,8052.888385,7821.298918,8343.827999
New Zealand,NZL,27750.72484,26671.32942,32510.0827,31287.77865,28201.23228,33692.01083,38426.55081,39970.25624,42949.32684,44560.64037,38649.3785,40331.9591,42940.57829
OECD members,OED,31077.42704,32529.87103,35299.65715,37081.93203,34442.01514,35847.52709,38328.36108,38022.61036,38236.29767,38776.3479,36394.78586,36862.75773,38148.76967
Oman,OMN,12376.97936,14408.0505,15805.13226,22075.03536,16784.34616,19281.00081,20986.08496,22134.80137,21268.83626,20469.13865,16406.71162,15102.38231,15668.36663
Other small states,OSS,7973.39286,9175.352206,10923.41467,13039.28982,10881.24625,12332.78969,14888.63377,15213.07689,15454.87833,15543.24722,12676.92673,12142.24577,13134.4241
Pakistan,PAK,711.4699463,873.7702727,950.4327931,1039.312088,1006.603999,1040.142268,1226.215314,1261.208967,1272.441061,1316.980966,1428.637628,1442.28584,1547.853414
Panama,PAN,4916.54886,5348.518399,6165.945057,7154.14428,7575.780644,8080.838225,9354.979419,10715.71661,11879.75653,12787.3062,13684.1308,14332.97248,15087.68163
Peru,PER,2754.780029,3171.498056,3611.21047,4208.878011,4166.093387,5022.493191,5771.565878,6387.785281,6583.116248,6492.053208,6053.112415,6031.366091,6571.928645
Philippines,PHL,1194.697116,1391.772292,1672.685411,1919.466208,1825.34154,2129.499247,2352.518156,2581.818548,2760.289146,2842.938353,2878.33837,2950.913903,2988.952703
Palau,PLW,9277.780569,9396.602039,9600.303241,9731.327862,8980.429653,8932.281387,9379.489296,10338.06243,10768.13098,11641.23921,13767.51691,14077.09622,13417.29026
Papua New Guinea,PNG,770.5648783,1283.770364,1440.130304,1719.516327,1672.490908,2004.818112,2474.061846,2865.873252,2800.169029,2973.270549,2605.945969,2461.945636,2555.853162
